,a1 x,a1 y,a1 lenSum,a1 sd,a1 rt,a2 x,a2 y,a2 lenSum,a2 sd,a2 rt,a3 x,a3 y,a3 lenSum,a3 sd,a3 rt,a4 x,a4 y,a4 lenSum,a4 sd,a4 rt
1133,26166.033898305086,24630.5593220339,1081830.113347107,7303.112486196165,3.0040740966796875e-05,26166.033898305086,24630.5593220339,1081830.113347107,7303.112486196165,0.0006990432739257812,27422.2013661531,24108.1848933151,1080033.66448013,7503.46336625085,6.091437101364136,25990.649973830725,25421.374877112692,1083545.8767864797,7274.908952923215,0.00214385986328125
1134,26621.542372881355,26986.06779661017,1043318.0128328868,7021.02924518314,3.075599670410156e-05,26621.542372881355,26986.06779661017,1043318.0128328868,7021.02924518314,0.000579833984375,26478.9950440729,26347.0735002377,1042885.95780864,7069.82466101232,5.826215744018555,25988.977395294405,26621.753952824198,1043260.0390972822,7061.335939928464,0.0012941360473632812
1135,24645.694915254237,22037.84745762712,1123731.763594722,6825.985864026166,4.792213439941406e-05,24645.694915254237,22037.84745762712,1123731.763594722,6825.985864026166,0.0005652904510498047,24403.5810080672,21348.7516683884,1123330.77158870,6883.77835062981,6.9689788818359375,24639.33532668299,23023.299629181623,1125479.7250253796,6814.382772748135,0.0016248226165771484
1136,23066.71186440678,21610.254237288136,1163865.616185,7747.310296095694,3.314018249511719e-05,23066.71186440678,21610.254237288136,1163865.616185,7747.310296095694,0.0005767345428466797,22339.9460354056,22110.8591657111,1163217.78338963,7825.13216548182,8.527745008468628,24015.038382427952,21626.247261334578,1165573.9602101562,7731.571273312259,0.0014259815216064453
1137,25176.4406779661,24684.966101694914,1110916.9031371765,7633.473510776828,2.6941299438476562e-05,25176.4406779661,24684.966101694914,1110916.9031371765,7633.473510776828,0.0006120204925537109,26227.7564978856,23868.0719078166,1109219.12053767,7818.26849964165,6.78922700881958,25699.652642768382,24224.692666459403,1109601.086468638,7719.7717055469675,0.0013458728790283203
1138,25274.762711864405,23047.627118644068,1075759.9746034923,6999.110544859212,3.0994415283203125e-05,25274.762711864405,23047.627118644068,1075759.9746034923,6999.110544859212,0.0005650520324707031,25544.4178159465,23453.1641699899,1075590.02934595,7023.51430946070,6.779843091964722,24656.67435133988,22341.26621412305,1077044.7083229495,7005.283084547854,0.0013489723205566406
1139,20148.508474576272,24317.745762711864,1208167.2522862493,7207.948574883935,2.8848648071289062e-05,20148.508474576272,24317.745762711864,1208167.2522862493,7207.948574883935,0.0005629062652587891,19467.1738075350,23229.3175554218,1206502.88211393,7399.86091304105,6.63608193397522,21645.05445728318,22857.014242165154,1211368.508344397,7355.461558520512,0.0014328956604003906
1140,25143.166666666668,23955.816666666666,1063893.6835990015,6760.202532246013,2.7894973754882812e-05,25143.166666666668,23955.816666666666,1063893.6835990015,6760.202532246013,0.0005769729614257812,25081.2817973132,25647.9786597578,1060158.53102176,7125.40345667220,5.106990098953247,24952.844473534016,24778.38230067203,1061201.6165818328,6928.370200709956,0.0012769699096679688
1141,22565.766666666666,28468.316666666666,1049814.9179648168,7452.6554932066765,2.8848648071289062e-05,22565.766666666666,28468.316666666666,1049814.9179648168,7452.6554932066765,0.0005412101745605469,22326.3678249953,28695.4654380185,1049657.68465794,7466.10197255489,4.885982990264893,23750.669145427506,27336.978690779393,1054669.7466116187,7442.308927205651,0.0013849735260009766
1142,25269.683333333334,23275.166666666668,1122427.6508194215,6291.755362619728,2.8848648071289062e-05,25269.683333333334,23275.166666666668,1122427.6508194215,6291.755362619728,0.0005769729614257812,24820.2471090322,23349.3620152966,1122231.94740857,6317.88791678635,5.568727016448975,25740.239047202886,23467.077309938373,1123054.3125306526,6281.206955292775,0.0015437602996826172
1143,27125.066666666666,22373.583333333332,1171552.7568662171,7397.628239626057,3.0279159545898438e-05,27125.066666666666,22373.583333333332,1171552.7568662171,7397.628239626057,0.0005619525909423828,27744.8425115725,24385.0167197563,1167281.70232237,7869.54208253754,6.044013977050781,27988.938067990854,23924.562154086474,1167564.1338202963,7776.139094068537,0.002101898193359375
1144,24858.166666666668,23044.65,1068330.9990517555,6319.88217418467,5.2928924560546875e-05,24858.166666666668,23044.65,1068330.9990517555,6319.88217418467,0.0008261203765869141,24979.1735312588,23135.6747879053,1068305.46000051,6322.89463413963,5.088526964187622,23945.209576896577,22784.00482403148,1069639.8221031819,6329.69607419256,0.0013778209686279297
1145,26202.516666666666,24765.816666666666,1125606.5677378091,6796.793427449382,3.409385681152344e-05,26202.516666666666,24765.816666666666,1125606.5677378091,6796.793427449382,0.0005819797515869141,25723.8875387643,24235.8273023386,1125132.71953155,6855.84625710273,6.126974821090698,25498.421601774153,24012.702394267093,1125222.1722332574,6892.00025706902,0.0013997554779052734
1146,26449.066666666666,23262.9,1060856.5750196585,7591.252080621761,2.7179718017578125e-05,26449.066666666666,23262.9,1060856.5750196585,7591.252080621761,0.0007140636444091797,25278.7388442854,22962.2363067573,1059054.17720469,7755.54907038046,5.36017918586731,26988.924246068735,23500.030968453542,1062979.6609657488,7531.418281092675,0.0013959407806396484
1147,25502.266666666666,26920.4,1173194.9097238863,7820.625427639022,2.8848648071289062e-05,25502.266666666666,26920.4,1173194.9097238863,7820.625427639022,0.0005679130554199219,26634.2393164801,26505.5447821197,1170229.81524396,8034.03890671015,4.594576835632324,25578.382246023866,26663.89317609643,1172716.9478300624,7845.0768984937795,0.0012888908386230469
1148,26996.966666666667,22776.833333333332,1141185.0171306825,6575.623697761888,3.0994415283203125e-05,26996.966666666667,22776.833333333332,1141185.0171306825,6575.623697761888,0.0005819797515869141,27020.4142158399,21417.3254245441,1139503.25440709,6793.60555803692,6.494480848312378,27070.6176439181,23519.63855610924,1143443.7821875513,6508.652364954663,0.001337289810180664
1149,27185.233333333334,24841.85,1075735.8060176787,7932.015187315527,3.3855438232421875e-05,27185.233333333334,24841.85,1075735.8060176787,7932.015187315527,0.0005650520324707031,28456.0789057468,25471.0966685062,1072412.05818258,8179.92486699902,5.6260011196136475,27052.742254535326,25297.32701376685,1075543.6903459441,7953.406952819015,0.0013661384582519531
